"tracker_row","years","states","first_state","last_state"
595,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
596,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
597,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
598,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
599,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
600,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
601,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
602,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
603,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
604,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
605,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
606,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
607,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
608,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
609,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
610,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
611,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
612,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
613,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
614,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
615,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
699,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
700,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
701,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
702,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
703,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
704,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
705,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
706,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
707,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
708,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
709,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
710,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
711,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Uttaranchal -> Uttarakhand","Uttaranchal","Uttarakhand"
