event_id,effective_date,event_type,from_unit,to_unit,share,source_id,status,note
telangana_2016_538_512,2016-10-11,district_reorganization,pc2011__28__538,lgd_district__512,,telangana_2016_parent_district_review,accepted,Mahabubnagar is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__538. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_539_696,2016-10-11,district_reorganization,pc2011__28__539,lgd_district__696,,telangana_2016_parent_district_review,accepted,Suryapet is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__539. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_539_697,2016-10-11,district_reorganization,pc2011__28__539,lgd_district__697,,telangana_2016_parent_district_review,accepted,Yadadri Bhuvanagiri is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__539. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_540_689,2016-10-11,district_reorganization,pc2011__28__540,lgd_district__689,,telangana_2016_parent_district_review,accepted,Jangoan is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__540. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_540_687,2016-10-11,district_reorganization,pc2011__28__540,lgd_district__687,,telangana_2016_parent_district_review,accepted,Jayashankar Bhupalapally is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__540. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_540_522,2016-10-11,district_reorganization,pc2011__28__540,lgd_district__522,,telangana_2016_parent_district_review,accepted,Warangal is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__540. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_540_686,2016-10-11,district_reorganization,pc2011__28__540,lgd_district__686,,telangana_2016_parent_district_review,accepted,Hanumakonda is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__540. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_541_690,2016-10-11,district_reorganization,pc2011__28__541,lgd_district__690,,telangana_2016_parent_district_review,accepted,Bhadradri Kothagudem is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__541. The edge records ancestry only and does not assign a territorial or population share.
chhattisgarh_2012_surguja_surajpur,2012-01-01,district_reorganization,pc2011__22__401,lgd_district__648,,chhattisgarh_2012_parent_district_review,accepted,Surajpur is recorded as a single-parent descendant of pc2011__22__401. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_surguja_balrampur,2012-01-01,district_reorganization,pc2011__22__401,lgd_district__649,,chhattisgarh_2012_parent_district_review,accepted,Balrampur-Ramanujganj is recorded as a single-parent descendant of pc2011__22__401. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_raipur_balodabazar,2012-01-01,district_reorganization,pc2011__22__410,lgd_district__644,,chhattisgarh_2012_parent_district_review,accepted,Balodabazar-Bhatapara is recorded as a single-parent descendant of pc2011__22__410. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_raipur_gariyaband,2012-01-01,district_reorganization,pc2011__22__410,lgd_district__645,,chhattisgarh_2012_parent_district_review,accepted,Gariyaband is recorded as a single-parent descendant of pc2011__22__410. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_durg_bemetara,2012-01-01,district_reorganization,pc2011__22__409,lgd_district__650,,chhattisgarh_2012_parent_district_review,accepted,Bemetara is recorded as a single-parent descendant of pc2011__22__409. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_durg_balod,2012-01-01,district_reorganization,pc2011__22__409,lgd_district__646,,chhattisgarh_2012_parent_district_review,accepted,Balod is recorded as a single-parent descendant of pc2011__22__409. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_bilaspur_mungeli,2012-01-01,district_reorganization,pc2011__22__406,lgd_district__647,,chhattisgarh_2012_parent_district_review,accepted,Mungeli is recorded as a single-parent descendant of pc2011__22__406. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_bastar_kondagaon,2012-01-01,district_reorganization,pc2011__22__414,lgd_district__643,,chhattisgarh_2012_parent_district_review,accepted,Kondagaon is recorded as a single-parent descendant of pc2011__22__414. The edge records ancestry only and does not assign a population or territorial share.
chhattisgarh_2012_dantewada_sukma,2012-01-01,district_reorganization,pc2011__22__416,lgd_district__642,,chhattisgarh_2012_parent_district_review,accepted,Sukma is recorded as a single-parent descendant of pc2011__22__416. The edge records ancestry only and does not assign a population or territorial share.
punjab_2011_gurdaspur_pathankot,2011-07-27,district_reorganization,pc2011__03__035,lgd_district__662,,punjab_2011_parent_district_review,accepted,Pathankot is recorded as a single-parent descendant of pc2011__03__035. The edge records ancestry only and does not assign a population or territorial share.
punjab_2011_firozpur_fazilka,2011-07-27,district_reorganization,pc2011__03__043,lgd_district__651,,punjab_2011_parent_district_review,accepted,Fazilka is recorded as a single-parent descendant of pc2011__03__043. The edge records ancestry only and does not assign a population or territorial share.
telangana_2016_537_698,2016-10-11,district_reorganization,pc2011__28__537,lgd_district__698,,telangana_2016_parent_district_review,accepted,Vikarabad includes territory from the Census-2011 Ranga Reddy district. This edge records one component of mixed parentage and does not assign a population or territorial share.
telangana_2016_538_698,2016-10-11,district_reorganization,pc2011__28__538,lgd_district__698,,telangana_2016_parent_district_review,accepted,Vikarabad includes territory from the Census-2011 Mahabubnagar district. This edge records one component of mixed parentage and does not assign a population or territorial share.
telangana_2016_540_688,2016-10-11,district_reorganization,pc2011__28__540,lgd_district__688,,telangana_2016_parent_district_review,accepted,Mahabubabad was primarily carved from the Census-2011 Warangal district. This edge records one component of mixed parentage and does not assign a population or territorial share.
telangana_2016_541_688,2016-10-11,district_reorganization,pc2011__28__541,lgd_district__688,,telangana_2016_parent_district_review,accepted,Mahabubabad includes two mandals from the Census-2011 Khammam district. This edge records one component of mixed parentage and does not assign a population or territorial share.
simdega_2001_from_gumla,2001-04-30,district_bifurcation,pc2001__20__16,pc2011__20__367,,official_simdega_gumla_history_2026,accepted,Simdega district was carved wholly from the former Gumla district on 30 April 2001. The edge records parentage; the paired allocation decision maps the complete descendant district back to Census-2001 Gumla.
lower_dibang_2001_from_dibang,2001-12-16,district_bifurcation,pc2001__12__10,pc2011__12__258,,official_single_parent_district_histories_2026,accepted,"Lower Dibang Valley was carved from the undivided Dibang Valley district with effect from 16 December 2001, after the Census-2001 reference date. The edge records complete one-parent ancestry for backward count aggregation; it does not imply unchanged boundaries."
jamtara_2001_from_dumka,2001-04-26,district_bifurcation,pc2001__20__11,pc2011__20__363,,official_jamtara_dumka_history_2026,accepted,"Jamtara was created by separating from Dumka on 26 April 2001, after the Census-2001 reference date. The edge records complete one-parent ancestry for backward count aggregation; it does not imply unchanged boundaries."
ashoknagar_2003_from_guna,2003-08-15,district_bifurcation,pc2001__23__07,pc2011__23__459,,official_ashoknagar_guna_history_2026,accepted,Ashoknagar remained part of Guna until it became a separate district on 15 August 2003. The edge records complete one-parent ancestry for backward count aggregation; it does not imply unchanged boundaries.
andhra_2001_2011_continuity_01_532,2011-03-01,documented_continuity,pc2001__28__01,pc2011__28__532,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_02_533,2011-03-01,documented_continuity,pc2001__28__02,pc2011__28__533,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_03_534,2011-03-01,documented_continuity,pc2001__28__03,pc2011__28__534,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_04_535,2011-03-01,documented_continuity,pc2001__28__04,pc2011__28__535,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_05_536,2011-03-01,documented_continuity,pc2001__28__05,pc2011__28__536,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_06_537,2011-03-01,documented_continuity,pc2001__28__06,pc2011__28__537,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_07_538,2011-03-01,documented_continuity,pc2001__28__07,pc2011__28__538,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_08_539,2011-03-01,documented_continuity,pc2001__28__08,pc2011__28__539,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_09_540,2011-03-01,documented_continuity,pc2001__28__09,pc2011__28__540,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_10_541,2011-03-01,documented_continuity,pc2001__28__10,pc2011__28__541,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_11_542,2011-03-01,documented_continuity,pc2001__28__11,pc2011__28__542,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_12_543,2011-03-01,documented_continuity,pc2001__28__12,pc2011__28__543,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_13_544,2011-03-01,documented_continuity,pc2001__28__13,pc2011__28__544,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_14_545,2011-03-01,documented_continuity,pc2001__28__14,pc2011__28__545,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_15_546,2011-03-01,documented_continuity,pc2001__28__15,pc2011__28__546,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_16_547,2011-03-01,documented_continuity,pc2001__28__16,pc2011__28__547,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_17_548,2011-03-01,documented_continuity,pc2001__28__17,pc2011__28__548,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_18_549,2011-03-01,documented_continuity,pc2001__28__18,pc2011__28__549,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_19_550,2011-03-01,documented_continuity,pc2001__28__19,pc2011__28__550,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_20_551,2011-03-01,documented_continuity,pc2001__28__20,pc2011__28__551,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_21_552,2011-03-01,documented_continuity,pc2001__28__21,pc2011__28__552,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_22_553,2011-03-01,documented_continuity,pc2001__28__22,pc2011__28__553,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
andhra_2001_2011_continuity_23_554,2011-03-01,documented_continuity,pc2001__28__23,pc2011__28__554,,census2011_andhra_admin_atlas,accepted,"The Census 2011 Administrative Atlas for Andhra Pradesh reports 23 districts at both Census 2001 and Census 2011, no district creation during the decade, and provides the 2001-2011 location-code concordance. This edge records whole-district continuity for backward harmonization."
