"analysis_id","family","analysis_role","multiplicity_family","specification_id","welfare_specification_id","welfare_outcome_id","outcome_round","estimand","treatment","adjustment_id","construction_id","excluded_instruments","effective_f","effective_f_critical_value","first_stage_strong","reduced_form_p_holm_family","reduced_form_family_signal","anderson_rubin_p_beta0_holm_family","ar_family_signal","ar_95_bounded","ar_95_disconnected","ar_95_left_truncated","ar_95_right_truncated","n"
"consumption_iv__consumption_scalar__early_2009__change__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__state_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.778141851315406,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__early_2009__change__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__early_2009__change__state_main__dyen_noncognate","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.083310447438475,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_scalar__medium_2011__ancova__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__region_main__nonzero_mean","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",5.75681735580738,23.1085112116065,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,525
"consumption_iv__consumption_scalar__medium_2011__ancova__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__region_main__glottolog_mean","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.115651358129603,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__ancova__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__region_main__dyen_noncognate","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.000612327120235327,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__ancova__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__state_main__nonzero_mean","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",1.0879205991676,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__ancova__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__state_main__glottolog_mean","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.68475745500823,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__ancova__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__ancova__state_main__dyen_noncognate","medium_2011__ancova","real_mean_mpce","nss_2011_12_type2","ancova","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0934985993242541,23.1085112116065,FALSE,0.979355507297937,FALSE,0.979355507297929,FALSE,FALSE,TRUE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__change__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__region_main__nonzero_mean","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",5.90295383645191,23.1085112116065,FALSE,1,FALSE,1,FALSE,TRUE,FALSE,FALSE,FALSE,525
"consumption_iv__consumption_scalar__medium_2011__change__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__region_main__glottolog_mean","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.1113510261192,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__change__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__region_main__dyen_noncognate","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",2.03190304704756e-05,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__change__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__state_main__nonzero_mean","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.673923837964983,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__change__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__state_main__glottolog_mean","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.22116589089622,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__medium_2011__change__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__medium_2011__change__state_main__dyen_noncognate","medium_2011__change","real_mean_mpce","nss_2011_12_type2","change","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.102952022253033,23.1085112116065,FALSE,0.825110196541385,FALSE,0.825110196541371,FALSE,FALSE,TRUE,TRUE,TRUE,525
"consumption_iv__consumption_scalar__long_2022__ancova__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__region_main__nonzero_mean","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.01950979640979,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,524
"consumption_iv__consumption_scalar__long_2022__ancova__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__region_main__glottolog_mean","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.0146060983604848,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__ancova__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__region_main__dyen_noncognate","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.000558307538409437,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__ancova__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__state_main__nonzero_mean","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.99818773968292,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__ancova__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__state_main__glottolog_mean","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.46881635759223,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__ancova__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__ancova__state_main__dyen_noncognate","long_2022__ancova","real_mean_mpce","hces_2022_23","ancova","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.177969035446994,23.1085112116065,FALSE,0.466431554016346,FALSE,0.466431554016373,FALSE,FALSE,TRUE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__change__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__region_main__nonzero_mean","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.08093035688336,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,524
"consumption_iv__consumption_scalar__long_2022__change__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__region_main__glottolog_mean","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.0124923702769934,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__change__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__region_main__dyen_noncognate","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",8.02938813286589e-05,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__change__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__state_main__nonzero_mean","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.685944474707812,23.1085112116065,FALSE,0.0392494327206705,TRUE,0.039249432720672,TRUE,FALSE,TRUE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__change__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__state_main__glottolog_mean","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.05038587778137,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2022__change__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2022__change__state_main__dyen_noncognate","long_2022__change","real_mean_mpce","hces_2022_23","change","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.203791967862338,23.1085112116065,FALSE,0.877685147044504,FALSE,0.877685147044504,FALSE,FALSE,TRUE,TRUE,TRUE,524
"consumption_iv__consumption_scalar__long_2023__ancova__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__region_main__nonzero_mean","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",3.92585125307832,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,522
"consumption_iv__consumption_scalar__long_2023__ancova__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__region_main__glottolog_mean","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.0355832856342926,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__ancova__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__region_main__dyen_noncognate","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",1.63073288951951e-05,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__ancova__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__state_main__nonzero_mean","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.73908825543639,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__ancova__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__state_main__glottolog_mean","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.8283042408999,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,TRUE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__ancova__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__ancova__state_main__dyen_noncognate","long_2023__ancova","real_mean_mpce","hces_2023_24","ancova","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0116207786730142,23.1085112116065,FALSE,0.917044313613526,FALSE,0.917044313613483,FALSE,FALSE,TRUE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__change__region_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__region_main__nonzero_mean","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.00071824262692,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,522
"consumption_iv__consumption_scalar__long_2023__change__region_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__region_main__glottolog_mean","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.0326500069000429,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__change__region_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__region_main__dyen_noncognate","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.000174938151344181,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__change__state_main__nonzero_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__state_main__nonzero_mean","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.413672190541092,23.1085112116065,FALSE,0.666856846281684,FALSE,0.666856846281661,FALSE,FALSE,TRUE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__change__state_main__glottolog_mean","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__state_main__glottolog_mean","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",1.25755573667303,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_scalar__long_2023__change__state_main__dyen_noncognate","scalar_iv","scalar_iv_robustness","consumption_scalar_iv_robustness","consumption_scalar__long_2023__change__state_main__dyen_noncognate","long_2023__change","real_mean_mpce","hces_2023_24","change","emi_exposure_all_children_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0303463543093671,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,522
"consumption_iv__consumption_treatment__early_2009__ancova__region_main__nonzero_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__region_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.22928399919062,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,521
"consumption_iv__consumption_treatment__early_2009__ancova__region_main__glottolog_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__region_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.378985762085547,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__ancova__region_main__dyen_noncognate","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__region_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0463596688277334,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__ancova__state_main__nonzero_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__state_main__nonzero_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.102821106933127,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__ancova__state_main__glottolog_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__state_main__glottolog_mean","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.942792902646445,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__ancova__state_main__dyen_noncognate","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__ancova__state_main__dyen_noncognate","early_2009__ancova","real_mean_mpce","nss_2009_10_type2","ancova","emi_share_enrolled_0708","state_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.0524216420455895,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__change__region_main__nonzero_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__change__region_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_share_enrolled_0708","region_main","nonzero_mean","ling_distance_nonzero_mean",4.40522600573275,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,521
"consumption_iv__consumption_treatment__early_2009__change__region_main__glottolog_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__change__region_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_share_enrolled_0708","region_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.379321280751663,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__change__region_main__dyen_noncognate","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__change__region_main__dyen_noncognate","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_share_enrolled_0708","region_main","dyen_noncognate","ling_distance_dyen_noncognate_pct",0.06526298583025,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__change__state_main__nonzero_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__change__state_main__nonzero_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_share_enrolled_0708","state_main","nonzero_mean","ling_distance_nonzero_mean",0.0067782913580384,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
"consumption_iv__consumption_treatment__early_2009__change__state_main__glottolog_mean","intensive_margin","treatment_definition_robustness","consumption_treatment_robustness","consumption_treatment__early_2009__change__state_main__glottolog_mean","early_2009__change","real_mean_mpce","nss_2009_10_type2","change","emi_share_enrolled_0708","state_main","glottolog_mean","ling_distance_glottolog_nonhindi_mean",0.556070951780538,23.1085112116065,FALSE,1,FALSE,1,FALSE,FALSE,FALSE,TRUE,TRUE,521
