source_id,source_name,source_url,local_raw_path,used_in_current_pipeline,current_or_future,represented_in_prior_markdown_url_map,citation_key,citation_key_present_in_bib,needs_bib_entry_or_canonical_citation,source_role,paper_location,notes
shrug_economic_census,SHRUG Economic Census district products and keys,https://www.devdatalab.org/shrug_download/,data/raw/shrug,True,current,False,,False,True,survey/census source,§3 Data; Appendix A/B,Active extended source for source-validated 2005 and 2013 district firm/nonfarm measures. EC05 is directly on Census-2001 geography; EC13 is a complete Census-2011 district product whose counts are pooled through the existing complete-parent 2011-to-2001 bridge before shares or changes. Historical EC90/EC98 archives are local but not yet active.
published_concordance,Deshpande-Khanna-Walia Census/PLFS/NSS/NRLM concordance,https://ora.ox.ac.uk/objects/uuid:08225ba2-af57-4ba8-8c03-3a027b68b354,data/raw/concordance,False,future,False,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,"Independent candidate evidence, especially Telangana 31-to-10 mapping; includes unmatched rows and no legal dates/shares."
ipums_geo2,"IPUMS harmonized India second-level geography, 1987-2009",https://international.ipums.org/international-action/variables/GEO2_IN,data/raw/ipums/geo2_in1987_2009,False,future,False,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,Stable combined geography for sensitivity analysis; not the Census 2001 district target.
administrative_atlas,Census of India 2011 Administrative Atlases,https://censusindia.gov.in/census.website/data/atlas,data/raw_future/Administrative Atlas,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,"Targeted evidence for 2001-2011 parentage, notifications, and exact dates. Haryana volume is the worked example."
ilo_figures,ILO figures,,assets/ilo_figures,True,current,False,ilo_2024,False,True,macro context source,§1 Introduction / figures if retained,Static figures used in the paper collage.
lgd_modifications_2001_2011,"LGD district modification roster, 2001-01-01 through 2011-01-01",https://lgdirectory.gov.in/downloadDirectory.do,data/raw/local_government_directory/modifications_01-01-2001_01-01-2011,False,future,True,,False,False,geographic harmonization/lineage source,§3 Data; Appendix A,District rows carry Census-2001 and Census-2011 codes. Nonblank paired codes are authoritative deterministic code links; blank Census-2001 codes identify post-2001 creations requiring separate lineage evidence.
prices,RBI and Labour Bureau consumer price series,https://data.rbi.org.in/DBIE/,data/raw/prices,True,current,False,,False,True,price/deflator source,§3 Data; Appendix A/B,Active CPI-RL/CPI-IW and state rural/urban price inputs for temporal and spatial deflation of historical NSS and modern HCES welfare measures.
census_2001_controls,Census of India 2001 control tables,https://censusindia.gov.in/,data/raw/census_2001,True,current,False,,False,True,official Census source,§3 Data; Appendix A/B/C,"Active predetermined district controls from C-01, C-08, C-14, H-09, H-13, and SHRUG PCA; validated before attachment to the Census-2001 analysis panel."
ethnologue_newick_proxy,Dediu lgfam-newick Ethnologue Newick export,https://github.com/ddediu/lgfam-newick/blob/master/output/ethnologue/ethnologue-newick-proportional%3D1.00.csv,data/raw/ethnologue/ethnologue-newick-proportional=1.00.csv,True,current,True,dediuLanguageFamilyTreesNewick,False,True,linguistic measurement source,§3 Data; §5; Appendix A/B/C,Later Ethnologue-derived machine-readable proxy. It is not asserted to reproduce the exact Ethnologue vintage used in Shastry 2008 Figure 6.
dyen_1997,Dyen-Kruskal-Black Comparative Indo-European Database,https://web.archive.org/web/20030814192224/http://www.wordgumbo.com/ie/cmp/iedata.txt,data/raw/cognates/dyen_kruskal_black_1997.txt,True,current,True,dyenComparativeIndoeuropeanDatabase1997,False,True,linguistic measurement source,§3 Data; §5; Appendix A/B/C,"Parser excludes doubtful cognations from the denominator, reproducing Shastry's reported one-decimal Hindi cognate percentages."
kogan_2017,Kogan 2017 New Indo-Aryan lexicostatistics,https://doi.org/10.31826/jlr-2017-143-411,data/raw/cognates/koganGenealogicalClassificationNew2017.pdf,True,current,False,koganGenealogicalClassificationNew2017,True,False,linguistic measurement source,§3 Data; §5; Appendix A/B/C,"Appendix contains 100-item Swadesh lists for 35 New Indo-Aryan varieties. Used as review/tie-break evidence, not silently merged with Dyen percentages."
asjp_v21,ASJP Database version 21,https://doi.org/10.5281/zenodo.16736409,data/raw/cognates/asjp-v21.zip,True,current,False,wichmannASJPDatabaseVersion2025,False,True,linguistic measurement source,§3 Data; §5; Appendix A/B/C,Untouched Zenodo archive retained in data/raw/cognates as the raw artifact. The reader opens the unique raw/lists.txt member directly; LDND evidence is review-only.
dise_district_report_cards,"DISE/UDISE District Report Cards and raw district data, NIEPA/NUEPA",https://educationforallinindia.com/all-dise-udise-publications-2005-06-to-2017-18/,data/raw/dise_internet_archive,False,future,False,,False,False,schooling administrative source,§3 Data; §4 Institutional Access; Appendix A/B,"Annual district report-card raw data. Baseline 2005-06 to 2007-08 medium identities are decoded from the corresponding published district report cards; 2009-10 provisional combined report is validation/fallback evidence, not preferred over final Volume I where they overlap."
nss_2004_05_consumption,"NSS 2004-05 Household Consumer Expenditure, 61st Round",https://microdata.gov.in/NADA/index.php/catalog/108,data/raw/hces/2004-05,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Detailed Schedule 1.0 baseline welfare source; official MPCE-365/MRP field is canonicalized from the distributed CSV archive.
nss_2009_10_consumption_type1,"NSS 2009-10 Household Consumer Expenditure Type 1, 66th Round",https://microdata.gov.in/NADA/index.php/catalog/122,data/raw/hces/2009-10/type1,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Type-1 MRP MPCE retained as same-round reference-period design sensitivity.
nss_2009_10_consumption_type2,"NSS 2009-10 Household Consumer Expenditure Type 2, 66th Round",https://microdata.gov.in/NADA/index.php/catalog/123,data/raw/hces/2009-10/type2,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Type-2 MPCE is the planned early post-treatment detailed-consumption outcome.
nss_2011_12_consumption_type2,"NSS 2011-12 Household Consumer Expenditure Type 2, 68th Round",https://microdata.gov.in/NADA/index.php/catalog/126,data/raw/hces/2011-12,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Type-2 MPCE is the planned medium-run detailed-consumption outcome; distributed MPCE integer is scaled by 0.01 per metadata.
hces_2022_23_consumption,Household Consumption Expenditure Survey 2022-23,https://microdata.gov.in/NADA/index.php/catalog/224,data/raw/hces/2022-23,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Modern three-visit long-run consumption endpoint; official Appendix I supplies the source district codebook.
hces_2023_24_consumption,Household Consumption Expenditure Survey 2023-24,https://microdata.gov.in/NADA/index.php/catalog/237,data/raw/hces/2023-24,True,current,False,,False,True,welfare survey source,§3 Data; Appendix A/B,Second modern three-visit long-run endpoint; observed state/district codes are validated against the 2022-23 Appendix I codebook.
census_2001_bilingualism,Census of India 2001 C-17 bilingualism and trilingualism,https://censusindia.gov.in/,data/raw/census_2001/languages/C17,True,current,False,,False,True,official language Census source,§3 Data; §5 Inherited Linguistic Conditions; Appendix A/B,Extended diagnostics ingest the 35 state/UT C-17 workbooks with hierarchical denominator checks and exact reconciliation to C-16 native-speaker totals; the validated state-by-language mechanism module then estimates the predeclared English-acquisition diagnostics.
census_2011_household_tables,Census of India 2011 HH-08/HH-10/HH-11 household tables,https://censusindia.gov.in/,data/raw/census_2011/households,True,current,False,,False,True,official household/housing Census source,§3 Data; §7; Appendix A/B/D,"Extended diagnostics use district-level HH-08 literacy depth, HH-10 matriculate/graduate access, and HH-11 worker intensity. Independent household universes are reconciled before complete deterministic 2011-to-2001 count pooling; measures are post-treatment descriptors, not preferred controls."
census_2001_migration_tables,Census of India 2001 D-series migration tables,https://censusindia.gov.in/,data/raw/census_2001/migration,True,current,False,,False,True,official migration Census source,§3 Data; §7; Appendix A/D,Extended diagnostics use district-level D-02 for predetermined migration/sorting measures. D-03 is not exposed as a district source because the 2001 state workbooks are state-level.
census_2011_migration_tables,Census of India 2011 D-series migration tables,https://censusindia.gov.in/,data/raw/census_2011/migration,True,current,False,,False,True,official migration Census source,§3 Data; §7; Appendix A/D,Extended diagnostics use district-level D-02 through D-07. D-05 measures age selectivity of migration reasons; D-06 measures migrant economic activity and seeking/available-for-work status. D-05/D-06 remain descriptive and are not added to the weak-IV outcome registry in this phase.
census_2001_worker_tables,Census of India 2001 B-series worker structure tables,https://censusindia.gov.in/,data/raw/census_2001/workers,True,current,False,,False,True,official worker Census source,§3 Data; §7; Appendix A/B/D,Extended diagnostics use district-level B-04 industrial structure and B-25/B-26 occupational structure as predetermined IV-balance evidence. The 2001 publication categories are not silently treated as a longitudinal crosswalk to 2011.
census_2011_worker_tables,Census of India 2011 B-series worker structure tables,https://censusindia.gov.in/,data/raw/census_2011/workers,True,current,False,,False,True,official worker Census source,§3 Data; §7; Appendix A/B/D,"Extended diagnostics use district-level B-04/B-06 industrial structure and B-25A/B occupational structure. B-01 remains acquisition-only in this phase; B-series shares are post-treatment mechanisms, not preferred controls."
census_housing_living_standards,Census of India 2001/2011 housing and living-standard tables,https://censusindia.gov.in/,data/raw/census_2001/housing; data/raw/census_2011/housing,True,current,False,,False,True,official household/housing Census source,§3 Data; §7; Appendix A/B/D,"Extended diagnostics use 2001 H-04 Appendix/H-05/H-08/H-09/H-10/H-11/H-12/H-13 and 2011 HL-04/HL-06/HL-07/HL-08/HL-09/HL-10/HL-11/HL-12/HL-13 for room/crowding, drinking-water, lighting/electricity, bathroom, latrine type, drainage, separate-kitchen, cooking-fuel, banking, and common asset measures. H-05 has 590 observed district rows, while H-10/H-11 cover the full 593-district baseline universe; H-10 therefore supplies complete baseline latrine counts and H-12's 587 rows remain an independent overlap validation rather than a support constraint. 2011 district counts are pooled only through complete deterministic 2011-to-2001 parent reconstructions before shares and changes are computed. HL-04 ownership is follow-up-only; richer water, sanitation, and fuel categories are collapsed only where 2001 has an explicit conceptual counterpart. HL-13 and Census-2001 H-04 Appendix supply longitudinal structural-durability shares. Census-2001 H-04 Appendix (PC01_H04a) is active as H04A after all 35 raw workbooks passed structural accounting and exactly matched the 593-district H09 household universe. H04A and HL13 now provide descriptive longitudinal durability changes; durability is not fabricated from H-03 materials and does not expand the fixed housing weak-IV registry."
maggieliuDataCodeClimate2023,Liu-Shamdasani-Taraz six-decade Indian Census replication geography files,https://www.openicpsr.org/openicpsr/project/150441/version/V1/view?path=/openicpsr/150441/fcr:versions/V1/Data/Source/PCA,data/raw/maggieliuDataCodeClimate2023,True,current,False,maggieliuDataCodeClimate2023,True,False,historical/replication benchmark source,§3 Data; §5; Appendix A/B/C,"Diagnostic external geography benchmark and reviewed-alias evidence. Vanneman_district_crosswalk.dta covers the 339 stable Vanneman panel IDs; panel4_lst.data is a non-authoritative bundled copy; PCA_census1991_dist_match.dta exposes raw 1991 Census codes/names plus a separate later harmonized geography. Construction scripts verify the stable-ID merge and provide explicit district-name normalization rules. Only tracked one-to-one adjudications that agree across stable ID, raw Census-1991 code/name, author dist91 code/name, and a direct published alias rule may enter preferred pretrend geography; Liu six-census harmonized IDs remain benchmark-only."
helms_lim_2025,Helms-Lim AJPS globalization replication: 1991 district linguistic distance,https://doi.org/10.7910/DVN/E0BJIZ,data/metadata/helms_lim_linguistic_distance_1991.csv,True,current,True,,False,True,historical/replication benchmark source,§3 Data; §5; Appendix A/B/C,"Tracked district-level extract from public_goods_analysis_dataset.csv. IPUM1993 decomposes exactly into 1991 state/district codes. The continuous distance is Shastry-derived, not an independent linguistic construction; use as an external coverage/replication benchmark and robustness predictor, while the reviewed Atlas reconstruction remains the project primary historical source."
economic_census_raw,Fifth (2005) and Sixth (2013-14) Economic Census microdata,https://microdata.gov.in/nada/index.php/catalog/ECO,data/raw/ec,True,current,False,,False,True,survey/census source,§3 Data; Appendix A/B,Official Fifth Economic Census fixed-width establishment files now support a descriptive 2005 NIC-2004 Division-72 computer/IT opportunity baseline; the Sixth Economic Census DDI remains an active extended source-validation input. EC05 IT measures are not promoted to a longitudinal mechanism until EC13 NIC granularity is independently shown to support a concept-matched comparison.
nss_2007_08_employment_migration,"NSS 2007-08 Employment, Unemployment and Migration, 64th Round",https://microdata.gov.in/,"data/raw/nss/NSS 2007-08 Employment, Unemployment and Migration Survey 64th Round",True,current,False,,False,True,labor/migration survey source,§3 Data; Appendix A/D,"Active NSS64 labor source, lineage, survey-design, support, and five-outcome district-estimation module; the registered temporal role is near_treatment_reference."
nss_2009_10_employment,"NSS 2009-10 Employment and Unemployment, 66th Round",https://microdata.gov.in/,data/raw/nss/NSS 2009-10 Employment and Unemployment 66th Round July 2009 - June 2010,True,current,False,,False,True,labor/migration survey source,§3 Data; Appendix A/D,"Active NSS66 labor DDI, generic Nesstar materialization, reviewed-lineage, support, and four-outcome district-estimation module; the registered temporal role is early_post."
nss_2014_education,"NSS 2014 Education, 71st Round",https://microdata.gov.in/,data/raw/nss/NSS 2014 Education 71st Round Data,False,future,False,,False,False,schooling survey source,§3 Data; Appendix A/B,Future education mechanism/robustness source; not needed for the current preferred Census or consumption outcome families.
plfs_labor_market,Periodic Labour Force Survey labor-market microdata,https://microdata.gov.in/nada/index.php/catalog/PLFS,data/raw/plfs,True,current,False,,False,True,labor/migration survey source,§3 Data; Appendix A/D,"Long-run labor source validation, generic F1 materialization, and canonical first-visit ingestion are active. Preferred geography reuses the reviewed 2017-18 primary crosswalk (deterministic plus accepted single-target upgrades); a stricter deterministic conservative bridge is estimated separately, while unrestricted population allocations remain excluded."
census_1991_validation_tables,Census of India 1991 official validation tables,https://censusindia.gov.in/census.website/en/data/census-tables,data/raw/census_1991,True,current,False,,False,True,official Census source,§3 Data; Appendix A/B/C,"Active extended primary-source validation of consequential 1991 historical controls. Official B-01(S), C-02/C-02U, C-06, and C-09 district counts are compared at source geography against the cached Vanneman 1991 sufficient statistics before any G2 allocation. Exact contracts cover population, urban population, secondary-plus counts, main workers, dependency components, Muslim population, and the C-09 religion-category population sum. Published C-09 total population is diagnostic rather than exact because Dhule contains a source-table total anomaly. C-02U missing rows are structural zeros only when the independent Vanneman urban count is zero. State-only H-series files remain excluded from district electricity validation."
census_2001_household_tables,Census of India 2001 HH-09/HH-13/HH-15 household tables,https://censusindia.gov.in/census.website/data/census-tables,data/raw/census_2001/households,True,current,True,,False,True,official household/housing Census source,§3 Data; §7; Appendix A/B/D,"Extended diagnostics use HH-09/HH-13/HH-15 with HH-15 Appendix as an independent worker-category cross-check. Exact 2001-to-2011 changes are limited to literacy-depth, matriculate/graduate-access, and worker-count household shares that have matching published concepts in 2011. Workers-per-household and marginal-worker changes are intentionally excluded because 2001 HH-15 top-codes worker counts at 4+ and does not publish the 2011 marginal-worker decomposition."
census_1991_st_language_tables,Census of India 1991 ST-16/ST-17 Scheduled Tribe language tables,https://censusindia.gov.in/census.website/data/census-tables,data/raw/census_1991/scheduled_tribes,False,future,True,,False,False,official language Census source,§3 Data; §5 Inherited Linguistic Conditions; Appendix A/B,Acquisition-ready state-workbook sources for a pre-treatment Scheduled Tribe language-mechanism diagnostic. ST-16 is registered at state-workbook scope. ST-17 explicitly requires the catalog district workbooks for district analysis because the state-level ST-17 files do not contain district observations; state-level ST-17 files are retained only as aggregate validation companions.
census_2011_st_language_tables,Census of India 2011 ST-15/ST-16 Scheduled Tribe language tables,https://censusindia.gov.in/census.website/data/census-tables,data/raw/census_2011/scheduled_tribes,False,future,True,,False,False,official language Census source,§3 Data; §5 Inherited Linguistic Conditions; Appendix A/B,Acquisition-ready Scheduled Tribe mother-tongue and bilingualism validation sources. These are lower priority than the 1991 ST language tables for the current pre-treatment mechanism question and remain outside the active targets graph.
