"specification_id","specification","treatment","instrument","omitted_state","estimate","excluded_instrument_f","estimate_change","f_change"
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","26",0.915809783242563,1.01560991516407,-9.10382880192628e-15,0.000897763131483931
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","27",0.916683915856917,0.930030408893734,0.00087413261434488,-0.0846817431388488
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","28",0.864834872981439,0.821373581218434,-0.0509749102611333,-0.193338570814149
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","29",0.771838994378048,0.82173595432293,-0.143970788864525,-0.192976197709653
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","30",0.913243872028096,1.00600600702565,-0.00256591121447647,-0.00870614500693079
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","31",0.91580978324257,1.01560991516409,-2.99760216648792e-15,0.000897763131503693
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","32",0.9759645997565,1.25293910052751,0.0601548165139281,0.238226948494926
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","33",0.804773335618254,0.859372939374905,-0.111036447624318,-0.155339212657678
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","34",0.941729135278568,1.00330911142203,0.0259193520359956,-0.0114030406105496
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","35",0.898960222956504,0.96591470989571,-0.0168495602860688,-0.0487974421368728
