"specification_id","adjustment_id","construction_id","fixed_effect","instrument","tested_covariates","n_tested_covariates","joint_f","joint_p","n","status","reason","construct_id","treatment","analysis_id","analysis_scope","domain","margin","source_side","paper_role","label"
"unadjusted__dyen_noncognate","unadjusted","dyen_noncognate","none","ling_distance_dyen_noncognate_pct","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,13.0681578415562,5.135965372415e-25,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__unadjusted__dyen_noncognate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"unadjusted__dyen_noncognate_shastry","unadjusted","dyen_noncognate_shastry","none","ling_distance_dyen_noncognate_pct","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13,9.91225910553005,1.25457446366334e-18,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__unadjusted__dyen_noncognate_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean","region_main","nonzero_mean","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,15.5047879672844,5.74867129202531e-12,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__distant_share","region_main","distant_share","region","ling_share_distance_ge3","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.65382410345427,0.0324501330370018,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__distant_share","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__top3_legacy","region_main","top3_legacy","region","ling_distance_top3_legacy","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.10976405336692,0.0784369952894586,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__top3_legacy","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu","region_main","nonzero_mean_hindi_urdu","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,14.066162302997,6.94822327145047e-11,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean_hindi_urdu","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_shastry","region_main","nonzero_mean_shastry","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,13.2438210975528,2.91159173562368e-10,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_sensitivity_low","region_main","nonzero_mean_sensitivity_low","region","ling_distance_nonzero_mean_sensitivity_low","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,13.0651151875455,3.97579582056313e-10,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean_sensitivity_low","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_sensitivity_high","region_main","nonzero_mean_sensitivity_high","region","ling_distance_nonzero_mean_sensitivity_high","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,8.26940322487583,1.83269812036692e-06,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean_sensitivity_high","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__nonzero_mean_hindi_urdu_separate","region_main","nonzero_mean_hindi_urdu_separate","region","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,15.9415252272442,2.7270743566625e-12,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__nonzero_mean_hindi_urdu_separate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean","region_main","glottolog_mean","region","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.56526994291664,0.0375394533497655,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__glottolog_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__glottolog_mean_shastry","region_main","glottolog_mean_shastry","region","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.80409337420057,0.0253086303514795,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__glottolog_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,5.58431002458126,0.000210104482103389,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__dyen_noncognate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_main__dyen_noncognate_shastry","region_main","dyen_noncognate_shastry","region","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,6.13716532314769,7.94445257184771e-05,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_main__dyen_noncognate_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__distant_share",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__distant_share","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__top3_legacy",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__top3_legacy","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean_hindi_urdu","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_shastry",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_low",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean_sensitivity_low","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_sensitivity_high",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean_sensitivity_high","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__nonzero_mean_hindi_urdu_separate",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__nonzero_mean_hindi_urdu_separate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__glottolog_mean",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__glottolog_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__glottolog_mean_shastry",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__glottolog_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__dyen_noncognate",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__dyen_noncognate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"region_expanded__dyen_noncognate_shastry",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__region_expanded__dyen_noncognate_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean","state_main","nonzero_mean","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.19494584634728,0.312169809954798,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__distant_share","state_main","distant_share","state","ling_share_distance_ge3","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.846384345369581,0.496259284587882,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__distant_share","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__top3_legacy","state_main","top3_legacy","state","ling_distance_top3_legacy","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.03839106068909,0.386839540582887,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__top3_legacy","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_hindi_urdu","state_main","nonzero_mean_hindi_urdu","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.27483825676924,0.27890343208002,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean_hindi_urdu","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_shastry","state_main","nonzero_mean_shastry","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.50179560360067,0.200496366334009,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_sensitivity_low","state_main","nonzero_mean_sensitivity_low","state","ling_distance_nonzero_mean_sensitivity_low","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.55768931245492,0.184478947714163,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean_sensitivity_low","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_sensitivity_high","state_main","nonzero_mean_sensitivity_high","state","ling_distance_nonzero_mean_sensitivity_high","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,1.44058549820138,0.219452834899731,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean_sensitivity_high","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__nonzero_mean_hindi_urdu_separate","state_main","nonzero_mean_hindi_urdu_separate","state","ling_distance_nonzero_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.27745017662852,0.0600495506372333,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__nonzero_mean_hindi_urdu_separate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__glottolog_mean","state_main","glottolog_mean","state","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.72685793482643,0.573903576101351,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__glottolog_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__glottolog_mean_shastry","state_main","glottolog_mean_shastry","state","ling_distance_glottolog_nonhindi_mean","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,0.92698727322178,0.447936842719053,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__glottolog_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__dyen_noncognate","state_main","dyen_noncognate","state","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.93609934079626,0.0203590111024889,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__dyen_noncognate","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_main__dyen_noncognate_shastry","state_main","dyen_noncognate_shastry","state","ling_distance_dyen_noncognate_pct","literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",4,2.86495831446376,0.0229259012850708,520,"estimated",NA,"emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_main__dyen_noncognate_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__nonzero_mean",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__nonzero_mean","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__distant_share",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__distant_share","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__top3_legacy",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__top3_legacy","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__nonzero_mean_hindi_urdu",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__nonzero_mean_hindi_urdu","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__nonzero_mean_shastry",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__nonzero_mean_shastry","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__nonzero_mean_sensitivity_low",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__nonzero_mean_sensitivity_low","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
"state_expanded__nonzero_mean_sensitivity_high",NA,NA,NA,NA,NA,0,NA,NA,NA,"not_applicable","All diagnostic balance covariates are already included as nuisance controls.","emi_total_0708","dise_emi_enrollment_share_total_0708","dise_weak_iv__emi_total_0708__state_expanded__nonzero_mean_sensitivity_high","structural_iv","medium","enrollment_composition","administrative_equilibrium","formal_english_exposure","DISE 2007-08 English-medium enrollment / total enrollment"
